,movie_id,title,score_recomendacao
224,260,Star Wars: Episode IV - A New Hope (1977),0.9918829831067162
3819,5349,Spider-Man (2002),0.9903430160692214
2836,3793,X-Men (2000),0.9902606098063453
7324,77561,Iron Man 2 (2010),0.9887360939431397
8692,122918,Guardians of the Galaxy 2 (2017),0.9885970333745364
474,541,Blade Runner (1982),0.9883395138030491
8688,122904,Deadpool (2016),0.9881231973629996
461,527,Schindler's List (1993),0.9867428924598269
8684,122892,Avengers: Age of Ultron (2015),0.9858158220024722
8680,122882,Mad Max: Fury Road (2015),0.9857694684796044
