,movie_id,title,score_recomendacao
224,260,Star Wars: Episode IV - A New Hope (1977),0.9932735887927483
2836,3793,X-Men (2000),0.9927637000412032
3574,4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),0.9913164400494436
8475,112852,Guardians of the Galaxy (2014),0.9899979398434282
939,1240,"Terminator, The (1984)",0.989920683971982
6062,40815,Harry Potter and the Goblet of Fire (2005),0.9892820354346931
4334,6333,X2: X-Men United (2003),0.9888648537288836
7078,69844,Harry Potter and the Half-Blood Prince (2009),0.9885558302430985
7324,77561,Iron Man 2 (2010),0.9881798516687268
7465,81834,Harry Potter and the Deathly Hallows: Part 1 (2010),0.9879017305315204
