,movie_id,title,score_recomendacao
898,1196,Star Wars: Episode V - The Empire Strikes Back (1980),0.9987639060568603
939,1240,"Terminator, The (1984)",0.9977080758137619
1576,2115,Indiana Jones and the Temple of Doom (1984),0.9975535640708694
4351,6365,"Matrix Reloaded, The (2003)",0.9969973217964565
1979,2628,Star Wars: Episode I - The Phantom Menace (1999),0.9967295014421096
4639,6934,"Matrix Revolutions, The (2003)",0.9966161928306552
706,924,2001: A Space Odyssey (1968),0.9965698393077875
5896,33493,Star Wars: Episode III - Revenge of the Sith (2005),0.9959363411619282
915,1214,Alien (1979),0.994895962093119
3832,5378,Star Wars: Episode II - Attack of the Clones (2002),0.9945611866501856
