,movie_id,title,score_recomendacao
5160,8360,Shrek 2 (2004),0.9972496909765143
506,588,Aladdin (1992),0.9942521631644005
322,364,"Lion King, The (1994)",0.994015245158632
5374,8961,"Incredibles, The (2004)",0.9934538524927894
3568,4886,"Monsters, Inc. (2001)",0.993196332921302
7355,78499,Toy Story 3 (2010),0.992583436341162
7039,68954,Up (2009),0.9919190358467244
7371,79091,Despicable Me (2010),0.9902400082406263
559,673,Space Jam (1996),0.9899361351462712
2355,3114,Toy Story 2 (1999),0.9898125257519572
