,movie_id,title,score_recomendacao
254,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),0.9864596209311908
7372,79132,Inception (2010),0.9862227029254224
3141,4226,Memento (2000),0.9854861969509683
3562,4878,Donnie Darko (2001),0.984610630407911
6630,56174,I Am Legend (2007),0.9830758137618459
2355,3114,Toy Story 2 (1999),0.9829522043675321
1083,1407,Scream (1996),0.9826328800988875
486,555,True Romance (1993),0.9817470127729708
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0.9812319736299959
474,541,Blade Runner (1982),0.9802740008240627
