,movie_id,title,score_recomendacao
224,260,Star Wars: Episode IV - A New Hope (1977),0.9979089410795221
7372,79132,Inception (2010),0.9908580552121962
6453,52281,Grindhouse (2007),0.9901730531520396
6630,56174,I Am Legend (2007),0.9849299546765554
5931,34048,War of the Worlds (2005),0.9811650185414091
858,1129,Escape from New York (1981),0.9792799752781212
167,198,Strange Days (1995),0.9775494437577257
4639,6934,"Matrix Revolutions, The (2003)",0.9774258343634117
3839,5388,Insomnia (2002),0.9771065100947672
46,50,"Usual Suspects, The (1995)",0.975757107540173
