,movie_id,title,score_recomendacao
2226,2959,Fight Club (1999),0.9964668314791925
254,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),0.9962865677791513
1164,1544,"Lost World: Jurassic Park, The (1997)",0.9947620519159457
15,16,Casino (1995),0.9940667490729296
5,6,Heat (1995),0.9924649773382777
18,19,Ace Ventura: When Nature Calls (1995),0.9914297486608983
46,50,"Usual Suspects, The (1995)",0.9914245982694685
4,5,Father of the Bride Part II (1995),0.991331891223733
3090,4148,Hannibal (2001),0.99077564894932
21,22,Copycat (1995),0.9898485784919654
