,movie_id,title,score_recomendacao
257,296,Pulp Fiction (1994),0.9990523279769263
3141,4226,Memento (2000),0.9982797692624639
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0.9977338277709107
3562,4878,Donnie Darko (2001),0.9974969097651423
7372,79132,Inception (2010),0.9973475484136795
1486,2011,Back to the Future Part II (1989),0.9973166460651011
1487,2012,Back to the Future Part III (1990),0.996621343222085
1298,1732,"Big Lebowski, The (1998)",0.9958333333333333
46,50,"Usual Suspects, The (1995)",0.9957818294190359
2078,2762,"Sixth Sense, The (1999)",0.9948805109188298
