,movie_id,title,score_recomendacao
6497,53322,Ocean's Thirteen (2007),0.3434389720447178
257,296,Pulp Fiction (1994),0.2966604895954153
5391,8984,Ocean's Twelve (2004),0.2961139714757616
1181,1573,Face/Off (1997),0.2843560284278686
793,1036,Die Hard (1988),0.2798282116452298
277,318,"Shawshank Redemption, The (1994)",0.27429185135887824
6453,52281,Grindhouse (2007),0.2737142280052324
5,6,Heat (1995),0.263276128349687
510,593,"Silence of the Lambs, The (1991)",0.2602850704873917
398,457,"Fugitive, The (1993)",0.26009529600424197
337,380,True Lies (1994),0.2563346760235311
3016,4034,Traffic (2000),0.25600646451315046
3607,4954,Ocean's Eleven (a.k.a. Ocean's 11) (1960),0.253631572241701
5931,34048,War of the Worlds (2005),0.25303942279330327
520,608,Fargo (1996),0.2526942892095228
6537,54503,Superbad (2007),0.2511841770603429
2605,3481,High Fidelity (2000),0.25012765812031035
7991,96861,Taken 2 (2012),0.24975340128813445
7372,79132,Inception (2010),0.24804717972245727
46,50,"Usual Suspects, The (1995)",0.24774465737415285
5832,32296,Miss Congeniality 2: Armed and Fabulous (2005),0.24774402633838288
6710,58559,"Dark Knight, The (2008)",0.24766479428729193
334,377,Speed (1994),0.24468159594320407
461,527,Schindler's List (1993),0.24197602561236525
546,648,Mission: Impossible (1996),0.241774288150981
138,165,Die Hard: With a Vengeance (1995),0.24168660720219065
3141,4226,Memento (2000),0.24145202389038006
123,150,Apollo 13 (1995),0.2410396168996085
3640,4995,"Beautiful Mind, A (2001)",0.23970873969007409
2145,2858,American Beauty (1999),0.2384702312645896
307,349,Clear and Present Danger (1994),0.23793891581792864
7010,68157,Inglourious Basterds (2009),0.23743744727673188
3152,4239,Blow (2001),0.23697222626418762
914,1213,Goodfellas (1990),0.23654243758935534
254,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),0.2354321932252291
6315,48516,"Departed, The (2006)",0.23537648858067164
899,1197,"Princess Bride, The (1987)",0.23524815967360052
1183,1580,Men in Black (a.k.a. MIB) (1997),0.23467945271085955
659,858,"Godfather, The (1972)",0.23420050767621098
2226,2959,Fight Club (1999),0.2336412385223323
2836,3793,X-Men (2000),0.23329273301206416
1939,2571,"Matrix, The (1999)",0.2329916705134722
3873,5445,Minority Report (2002),0.23244888416877715
3622,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",0.232299099626189
922,1221,"Godfather: Part II, The (1974)",0.23217965902437102
2078,2762,"Sixth Sense, The (1999)",0.23183804107294514
1503,2028,Saving Private Ryan (1998),0.2317580642606067
4615,6874,Kill Bill: Vol. 1 (2003),0.2316127993220673
97,110,Braveheart (1995),0.2315967039524125
1398,1917,Armageddon (1998),0.23065736817590818
3010,4027,"O Brother, Where Art Thou? (2000)",0.23063855445682094
6242,46578,Little Miss Sunshine (2006),0.2305835719981735
3495,4776,Training Day (2001),0.22994319853612116
1322,1784,As Good as It Gets (1997),0.2291729071976968
1291,1721,Titanic (1997),0.22892022169648246
969,1270,Back to the Future (1985),0.22816792620605073
1124,1466,Donnie Brasco (1997),0.22801357126415842
2966,3977,Charlie's Angels (2000),0.22788092844649016
4940,7445,Man on Fire (2004),0.2277903052462949
5972,35836,"40-Year-Old Virgin, The (2005)",0.22600975275578197
126,153,Batman Forever (1995),0.2260002642241135
592,733,"Rock, The (1996)",0.22594060319649387
0,1,Toy Story (1995),0.22586567667819296
328,370,Naked Gun 33 1/3: The Final Insult (1994),0.22582577002456322
7075,69757,(500) Days of Summer (2009),0.22561302632293267
24,25,Leaving Las Vegas (1995),0.2253857602069102
946,1247,"Graduate, The (1967)",0.22477290086955826
5917,33794,Batman Begins (2005),0.22451878821367297
315,357,Four Weddings and a Funeral (1994),0.22431034317094176
8305,106782,"Wolf of Wall Street, The (2013)",0.22426297948328125
514,597,Pretty Woman (1990),0.22407321596241841
3790,5299,My Big Fat Greek Wedding (2002),0.2239379842204825
6534,54286,"Bourne Ultimatum, The (2007)",0.22378091113527182
1691,2273,Rush Hour (1998),0.2236441899722871
512,595,Beauty and the Beast (1991),0.2235682248742802
923,1222,Full Metal Jacket (1987),0.2232479632963797
2779,3717,Gone in 60 Seconds (2000),0.22298863446001693
4141,5956,Gangs of New York (2002),0.2226724671745445
2996,4011,Snatch (2000),0.2225029060079613
1730,2324,Life Is Beautiful (La Vita è bella) (1997),0.2224965409145946
3832,5378,Star Wars: Episode II - Attack of the Clones (2002),0.2223899146759154
509,592,Batman (1989),0.22235621705932407
486,555,True Romance (1993),0.22234507285525393
1475,2000,Lethal Weapon (1987),0.2222564687846016
2808,3753,"Patriot, The (2000)",0.22223266066456543
2174,2890,Three Kings (1999),0.22221632684750542
2944,3948,Meet the Parents (2000),0.2221857473873486
201,235,Ed Wood (1994),0.22117112308710646
2700,3623,Mission: Impossible II (2000),0.22112379691581452
1199,1597,Conspiracy Theory (1997),0.22106037673101525
3525,4816,Zoolander (2001),0.22105457897515352
2020,2692,Run Lola Run (Lola rennt) (1998),0.2209866413208204
2907,3897,Almost Famous (2000),0.22069084324115393
1445,1968,"Breakfast Club, The (1985)",0.2206880729886755
6481,52973,Knocked Up (2007),0.22058711407640277
472,539,Sleepless in Seattle (1993),0.22035209680447562
418,480,Jurassic Park (1993),0.22018729320268038
3854,5418,"Bourne Identity, The (2002)",0.22017970845554868
2674,3578,Gladiator (2000),0.2200133508844135
1298,1732,"Big Lebowski, The (1998)",0.2199309027956726
