,movie_id,title,score_recomendacao
1730,2324,Life Is Beautiful (La Vita è bella) (1997),0.9891120725175113
914,1213,Goodfellas (1990),0.9886536876802637
257,296,Pulp Fiction (1994),0.9878347754429337
5896,33493,Star Wars: Episode III - Revenge of the Sith (2005),0.9870364647713226
287,329,Star Trek: Generations (1994),0.9869849608570251
902,1200,Aliens (1986),0.9869849608570251
0,1,Toy Story (1995),0.9868149979398435
97,110,Braveheart (1995),0.9867634940255459
1498,2023,"Godfather: Part III, The (1990)",0.984734239802225
858,1129,Escape from New York (1981),0.9840080346106304
