,movie_id,title,score_recomendacao
1939,2571,"Matrix, The (1999)",0.9948599093531109
856,1127,"Abyss, The (1989)",0.9928100535640708
4935,7438,Kill Bill: Vol. 2 (2004),0.9920735475896167
858,1129,Escape from New York (1981),0.9916100123609395
4639,6934,"Matrix Revolutions, The (2003)",0.9908683559950555
4615,6874,Kill Bill: Vol. 1 (2003),0.9903842192006592
7302,76093,How to Train Your Dragon (2010),0.9892871858261229
4764,7090,Hero (Ying xiong) (2002),0.9887566955088587
1543,2078,"Jungle Book, The (1967)",0.988545529460239
4351,6365,"Matrix Reloaded, The (2003)",0.9882828594973219
