,movie_id,title,score_recomendacao
2226,2959,Fight Club (1999),0.9975793160280182
138,165,Die Hard: With a Vengeance (1995),0.9969973217964565
254,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),0.9965646889163576
5,6,Heat (1995),0.9964513803049031
922,1221,"Godfather: Part II, The (1974)",0.9959157395962093
1298,1732,"Big Lebowski, The (1998)",0.9952770910589205
828,1089,Reservoir Dogs (1992),0.995019571487433
914,1213,Goodfellas (1990),0.9948650597445406
43,47,Seven (a.k.a. Se7en) (1995),0.9948393077873918
24,25,Leaving Las Vegas (1995),0.9930366707869798
