,movie_id,title,score_recomendacao
3638,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",0.9956324680675731
900,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),0.9947156983930779
2078,2762,"Sixth Sense, The (1999)",0.994138854552946
3574,4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),0.9940976514215081
7372,79132,Inception (2010),0.9940100947672023
4351,6365,"Matrix Reloaded, The (2003)",0.993567161104244
512,595,Beauty and the Beast (1991),0.993505356407087
4639,6934,"Matrix Revolutions, The (2003)",0.9930006180469715
3562,4878,Donnie Darko (2001),0.9925834363411619
254,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),0.9913730943551711
