,movie_id,title,score_recomendacao
7372,79132,Inception (2010),0.9922486608982283
706,924,2001: A Space Odyssey (1968),0.9908220024721879
4351,6365,"Matrix Reloaded, The (2003)",0.9906005356407088
5896,33493,Star Wars: Episode III - Revenge of the Sith (2005),0.9903739184177998
4639,6934,"Matrix Revolutions, The (2003)",0.9902194066749073
1224,1625,"Game, The (1997)",0.9890296662546354
7258,74458,Shutter Island (2010),0.9886433868974043
474,541,Blade Runner (1982),0.9882468067573136
1298,1732,"Big Lebowski, The (1998)",0.9874896992171405
939,1240,"Terminator, The (1984)",0.9869540585084468
