,movie_id,title,score_recomendacao
254,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),0.9957303255047384
2700,3623,Mission: Impossible II (2000),0.9940358467243511
217,253,Interview with the Vampire: The Vampire Chronicles (1994),0.9934177997527811
412,474,In the Line of Fire (1993),0.9929233621755253
325,367,"Mask, The (1994)",0.9902966625463535
303,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",0.9880871446229914
308,350,"Client, The (1994)",0.9875927070457355
1044,1356,Star Trek: First Contact (1996),0.9872630819942315
409,471,"Hudsucker Proxy, The (1994)",0.9866862381540997
3991,5630,Red Dragon (2002),0.986660486196951
