,movie_id,title,score_recomendacao
659,858,"Godfather, The (1972)",0.9973733003708283
1005,1307,When Harry Met Sally... (1989),0.9946435929130615
914,1213,Goodfellas (1990),0.9937525751957148
5,6,Heat (1995),0.9929285125669551
951,1252,Chinatown (1974),0.9924083230325504
3495,4776,Training Day (2001),0.9923053152039555
1218,1617,L.A. Confidential (1997),0.9920374948496087
138,165,Die Hard: With a Vengeance (1995),0.9917130201895343
3138,4223,Enemy at the Gates (2001),0.9906726411207253
15,16,Casino (1995),0.9905438813349815
