,movie_id,title,score_recomendacao
224,260,Star Wars: Episode IV - A New Hope (1977),0.9961475072105481
418,480,Jurassic Park (1993),0.9946538936959209
472,539,Sleepless in Seattle (1993),0.9942573135558302
1057,1374,Star Trek II: The Wrath of Khan (1982),0.9941079522043675
287,329,Star Trek: Generations (1994),0.9938452822414504
1054,1371,Star Trek: The Motion Picture (1979),0.9938195302843017
7018,68358,Star Trek (2009),0.9937062216728472
385,442,Demolition Man (1993),0.9936495673671198
378,434,Cliffhanger (1993),0.9929851668726823
1044,1356,Star Trek: First Contact (1996),0.9921765554182118
