,movie_id,title,score_recomendacao
322,364,"Lion King, The (1994)",0.9954985578903996
472,539,Sleepless in Seattle (1993),0.9949062628759786
276,317,"Santa Clause, The (1994)",0.9942058096415327
868,1148,Wallace & Gromit: The Wrong Trousers (1993),0.9935156571899464
964,1265,Groundhog Day (1993),0.9930830243098476
599,745,Wallace & Gromit: A Close Shave (1995),0.9926967449526163
412,474,In the Line of Fire (1993),0.9919962917181706
981,1282,Fantasia (1940),0.9917902760609806
355,410,Addams Family Values (1993),0.990801400906469
486,555,True Romance (1993),0.990739596209312
