,movie_id,title,score_recomendacao
5227,8533,"Notebook, The (2004)",0.9901473011948909
472,539,Sleepless in Seattle (1993),0.9848011948908116
7075,69757,(500) Days of Summer (2009),0.9780335805521221
2318,3072,Moonstruck (1987),0.9766378244746601
8245,104374,About Time (2013),0.9723784507622579
4644,6942,Love Actually (2003),0.971641944787804
2858,3824,Autumn in New York (2000),0.9698650597445406
4986,7669,Pride and Prejudice (1995),0.96823753605274
203,237,Forget Paris (1995),0.9647455706633704
4645,6944,Father of the Bride (1991),0.9632365059744541
