,movie_id,title,score_recomendacao
1939,2571,"Matrix, The (1999)",0.9927276473011949
6453,52281,Grindhouse (2007),0.9901730531520396
224,260,Star Wars: Episode IV - A New Hope (1977),0.9901215492377421
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0.9869798104655954
939,1240,"Terminator, The (1984)",0.9863051091882984
474,541,Blade Runner (1982),0.9861145447053976
3141,4226,Memento (2000),0.9854861969509683
6151,44191,V for Vendetta (2006),0.985161722290894
8376,109487,Interstellar (2014),0.9828749484960857
6470,52722,Spider-Man 3 (2007),0.9827564894932015
