,movie_id,title,score_recomendacao
4427,6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),0.9966779975278122
257,296,Pulp Fiction (1994),0.996271116604862
4351,6365,"Matrix Reloaded, The (2003)",0.995514009064689
2226,2959,Fight Club (1999),0.9952616398846312
4639,6934,"Matrix Revolutions, The (2003)",0.995225587144623
6315,48516,"Departed, The (2006)",0.9947466007416563
4076,5816,Harry Potter and the Chamber of Secrets (2002),0.9946899464359291
3574,4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),0.9940049443757726
3562,4878,Donnie Darko (2001),0.9931396786155748
6062,40815,Harry Potter and the Goblet of Fire (2005),0.9923413679439638
