,movie_id,title,score_recomendacao
898,1196,Star Wars: Episode V - The Empire Strikes Back (1980),0.99774412855377
911,1210,Star Wars: Episode VI - Return of the Jedi (1983),0.9973836011536877
1044,1356,Star Trek: First Contact (1996),0.9959775442933664
1979,2628,Star Wars: Episode I - The Phantom Menace (1999),0.9957097239390194
275,316,Stargate (1994),0.9954316028018129
902,1200,Aliens (1986),0.994957766790276
1486,2011,Back to the Future Part II (1989),0.9945354346930366
706,924,2001: A Space Odyssey (1968),0.9944375772558716
5896,33493,Star Wars: Episode III - Revenge of the Sith (2005),0.993896786155748
7018,68358,Star Trek (2009),0.9937062216728472
