,movie_id,title,score_recomendacao
793,1036,Die Hard (1988),0.9964565306963329
1164,1544,"Lost World: Jurassic Park, The (1997)",0.9945766378244747
1053,1370,Die Hard 2 (1990),0.9942830655129791
5,6,Heat (1995),0.9941337041615164
422,485,Last Action Hero (1993),0.9923465183353936
486,555,True Romance (1993),0.992315615986815
46,50,"Usual Suspects, The (1995)",0.9916100123609395
412,474,In the Line of Fire (1993),0.9908838071693449
1181,1573,Face/Off (1997),0.9907911001236094
364,420,Beverly Hills Cop III (1994),0.990183353934899
