,movie_id,title,score_recomendacao
2226,2959,Fight Club (1999),0.9970230737536053
224,260,Star Wars: Episode IV - A New Hope (1977),0.9967037494849609
1298,1732,"Big Lebowski, The (1998)",0.9958333333333333
254,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),0.995452204367532
7372,79132,Inception (2010),0.9954007004532345
939,1240,"Terminator, The (1984)",0.9944633292130202
3562,4878,Donnie Darko (2001),0.9941594561186651
2078,2762,"Sixth Sense, The (1999)",0.9927482488669138
7010,68157,Inglourious Basterds (2009),0.992542233209724
902,1200,Aliens (1986),0.9923619695096827
