,movie_id,title,score_recomendacao
3638,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",0.9949835187474247
6062,40815,Harry Potter and the Goblet of Fire (2005),0.9928049031726411
7644,88125,Harry Potter and the Deathly Hallows: Part 2 (2011),0.9918263288009889
911,1210,Star Wars: Episode VI - Return of the Jedi (1983),0.9911722290894108
7078,69844,Harry Potter and the Half-Blood Prince (2009),0.9911516275236918
1979,2628,Star Wars: Episode I - The Phantom Menace (1999),0.9889421096003296
7372,79132,Inception (2010),0.9886330861145448
902,1200,Aliens (1986),0.9874484960857025
4639,6934,"Matrix Revolutions, The (2003)",0.987438195302843
4351,6365,"Matrix Reloaded, The (2003)",0.9872630819942316
