,movie_id,title,score_recomendacao
7075,69757,(500) Days of Summer (2009),0.9921250515039143
5227,8533,"Notebook, The (2004)",0.9908889575607747
3624,4975,Vanilla Sky (2001),0.9896168108776267
809,1059,William Shakespeare's Romeo + Juliet (1996),0.987623609394314
472,539,Sleepless in Seattle (1993),0.9866553358055212
8313,106920,Her (2013),0.9865111248454883
4644,6942,Love Actually (2003),0.9857334157395963
512,595,Beauty and the Beast (1991),0.9852544293366297
6352,49286,"Holiday, The (2006)",0.9844149155335806
4015,5673,Punch-Drunk Love (2002),0.9841522455706634
