,movie_id,title,score_recomendacao
911,1210,Star Wars: Episode VI - Return of the Jedi (1983),0.9980325504738361
902,1200,Aliens (1986),0.995328594973218
5896,33493,Star Wars: Episode III - Revenge of the Sith (2005),0.9951946847960444
706,924,2001: A Space Odyssey (1968),0.9949011124845488
1979,2628,Star Wars: Episode I - The Phantom Menace (1999),0.9945045323444582
3832,5378,Star Wars: Episode II - Attack of the Clones (2002),0.9938195302843016
1545,2081,"Little Mermaid, The (1989)",0.9921662546353524
8682,122886,Star Wars: Episode VII - The Force Awakens (2015),0.9915327564894931
5160,8360,Shrek 2 (2004),0.9914091470951791
257,296,Pulp Fiction (1994),0.9895962093119077
