,movie_id,title,score_recomendacao
7372,79132,Inception (2010),0.9894674495261641
6453,52281,Grindhouse (2007),0.9870210135970334
3141,4226,Memento (2000),0.9795529460238979
167,198,Strange Days (1995),0.9783838071693449
3839,5388,Insomnia (2002),0.9763648537288834
7258,74458,Shutter Island (2010),0.9759425216316441
902,1200,Aliens (1986),0.9731716110424392
4639,6934,"Matrix Revolutions, The (2003)",0.9731613102595797
1218,1617,L.A. Confidential (1997),0.9728471363823652
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0.9722393901936548
