,movie_id,title,score_recomendacao
253,292,Outbreak (1995),0.9961372064276884
217,253,Interview with the Vampire: The Vampire Chronicles (1994),0.9960135970333746
2226,2959,Fight Club (1999),0.9945199835187474
486,555,True Romance (1993),0.9915739596209312
225,261,Little Women (1994),0.9909198599093532
6630,56174,I Am Legend (2007),0.9905850844664195
326,368,Maverick (1994),0.9904151215492377
443,508,Philadelphia (1993),0.9903430160692213
21,22,Copycat (1995),0.9900339925834364
274,315,"Specialist, The (1994)",0.9894983518747426
