,movie_id,title,score_recomendacao
257,296,Pulp Fiction (1994),0.9868149979398434
7372,79132,Inception (2010),0.9852956324680676
472,539,Sleepless in Seattle (1993),0.9822981046559539
602,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),0.9816543057272353
520,608,Fargo (1996),0.9815409971157807
1797,2396,Shakespeare in Love (1998),0.9813967861557478
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0.9813246806757314
1730,2324,Life Is Beautiful (La Vita è bella) (1997),0.9795632468067574
3831,5377,About a Boy (2002),0.9795117428924598
1445,1968,"Breakfast Club, The (1985)",0.9789658014009066
