,movie_id,title,score_recomendacao
3638,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",0.9946126905644829
1576,2115,Indiana Jones and the Temple of Doom (1984),0.9944015245158633
0,1,Toy Story (1995),0.994324268644417
4137,5952,"Lord of the Rings: The Two Towers, The (2002)",0.9942779151215492
2355,3114,Toy Story 2 (1999),0.9937989287185827
224,260,Star Wars: Episode IV - A New Hope (1977),0.9936444169756902
138,165,Die Hard: With a Vengeance (1995),0.9932890399670375
902,1200,Aliens (1986),0.9921765554182118
7372,79132,Inception (2010),0.991414297486609
5269,8665,"Bourne Supremacy, The (2004)",0.9911155747836836
