userId,porcentagem_coberta,filmes_apareceram,filmes_nao_apareceram
1,70.0,"[1024, 1025, 3, 2947, 1029, 6, 2948, 2949, 1804, 1805, 527, 1275, 2193, 2450, 661, 2716, 2596, 1573, 2099, 1208, 2616, 1210, 1089, 1090, 2115, 1092, 2761, 3671, 216, 3034, 608, 2273, 2028, 3053, 3440, 1265, 2033, 3441, 1270, 3448, 2427, 2046]","[1920, 1, 480, 231, 733, 457, 235, 2700, 1517, 3052, 1552, 2580, 3702, 3703, 2105, 2459, 2268, 1213]"
2,83.33,"[1704, 80489, 80906, 333, 79132]",[3578]
3,100.0,"[2288, 849, 1587, 6835, 7899, 5919]",[]
4,38.46,"[2791, 1225, 2762, 1517, 4239, 2351, 1136, 3508, 919, 920, 345, 1466, 1947, 2204, 1086]","[2692, 3851, 3083, 914, 4246, 2203, 800, 162, 1967, 4273, 708, 1103, 3408, 1500, 348, 1250, 3044, 106, 1259, 368, 3060, 1914, 892, 125]"
5,66.67,"[290, 296, 367, 594, 595, 596]","[1, 34, 21]"
6,77.27,"[2, 5, 281, 26, 32, 292, 1064, 304, 440, 700, 60, 61, 450, 195, 708, 709, 454, 838, 207, 848, 593, 594, 339, 340, 852, 361, 491, 364, 110, 367, 500, 248, 250, 508]","[3, 141, 590, 112, 337, 210, 24, 1082, 252, 62]"
7,52.38,"[1, 4993, 8961, 5445, 7143, 780, 6863, 50, 150, 924, 3869]","[4995, 3114, 6539, 1610, 750, 1584, 3408, 8949, 1270, 8957]"
8,87.5,"[2, 296, 11, 593, 21, 253, 318]",[590]
9,25.0,"[223, 5447]","[5218, 5445, 5965, 6001, 922, 923]"
10,73.33,"[33794, 88163, 106696, 103339, 588, 7153, 1907, 79091, 104374, 49272, 6942]","[912, 40819, 7149, 81845]"
11,100.0,"[480, 36, 1604, 6, 1608, 457, 780, 1101, 110, 2028, 474, 1210, 1693]",[]
12,77.78,"[39, 2572, 8533, 2485, 40629, 2072, 6942]","[168, 222]"
13,83.33,"[47, 3793, 3827, 3798, 1590]",[1198]
14,57.14,"[376, 25, 339, 356]","[32, 593, 47]"
15,72.22,"[318, 2916, 260, 122886, 296, 2571, 71057, 4370, 134130, 84152, 1210, 1214, 1240]","[2858, 112556, 4720, 4018, 69757]"
16,61.11,"[4226, 293, 91529, 750, 849, 50, 913, 1267, 5618, 1208, 1276]","[78499, 1261, 4973, 111, 1203, 1207, 68954]"
17,70.37,"[4993, 4226, 2571, 1291, 527, 79132, 47, 50, 7482, 1213, 1089, 1090, 1221, 1222, 2762, 589, 590, 4571, 7153]","[1, 78499, 2858, 1036, 80463, 1405, 1270, 27773]"
18,63.86,"[111362, 6787, 6, 122886, 1036, 54286, 2959, 16, 89745, 122900, 150548, 2324, 4886, 79132, 32, 122918, 4007, 6440, 180777, 99114, 185135, 431, 1201, 1203, 157108, 1080, 3896, 45499, 65596, 1086, 1729, 1732, 1221, 1222, 1223, 5445, 88140, 77561, 5464, 8665, 8798, 37729, 4963, 37733, 99813, 745, 1260, 3052, 98809, 508, 1270, 44665, 1276]","[59784, 778, 6539, 780, 45722, 155168, 78499, 112421, 36529, 180, 2997, 1206, 8117, 1721, 71108, 64197, 112334, 55118, 71899, 2268, 223, 356, 5608, 90600, 235, 55276, 3949, 4973, 2291, 69757]"
19,57.58,"[1, 2186, 3471, 2716, 541, 32, 3745, 34, 2723, 551, 1967, 818, 1086, 2762, 2005, 1240, 1372, 1374, 1376]","[1923, 837, 1256, 457, 1097, 2253, 3056, 1234, 852, 3477, 2997, 1079, 3035, 2359]"
20,83.78,"[1025, 1282, 13, 4886, 2078, 2080, 2081, 34, 4014, 48, 4016, 5816, 2746, 5952, 3397, 3398, 2761, 1489, 594, 595, 596, 2140, 2141, 4700, 6365, 1380, 5103, 2161, 2804, 1013, 1022]","[5218, 3410, 4310, 5015, 5785, 3967]"
21,80.0,"[53121, 5378, 260, 53125, 104841, 10, 3082, 8972, 3984, 7569, 7570, 152081, 8984, 117529, 115617, 78499, 4005, 5418, 1196, 1198, 94777, 95170, 2115, 5445, 2376, 53322, 4306, 164179, 2012, 355, 743, 119145, 33004, 106487, 77561, 167036]","[2916, 72998, 7143, 2763, 3022, 105653, 3253, 94677, 2717]"
22,33.33,"[4848, 253, 4036, 55820]","[4903, 107, 48780, 2160, 49272, 2300, 3006, 216]"
23,80.0,"[1089, 6, 6440, 1232, 1233, 50, 2579, 5971, 5782, 923, 924, 29]","[2467, 1237, 2686]"
24,50.0,"[6, 296, 3147, 1265, 50, 1396, 132660, 1527, 58559]","[7143, 119145, 6350, 134130, 58998, 3578, 64957, 2686, 5791]"
25,88.89,"[260, 60069, 122916, 527, 59315, 176371, 177593, 58559]",[231]
26,100.0,"[296, 165, 47]",[]
