userId,porcentagem_coberta,filmes_apareceram,filmes_nao_apareceram
1,36.67,"[1025, 3, 2948, 2947, 1029, 2949, 1275, 2193, 1208, 1210, 1090, 2115, 3671, 3034, 608, 2028, 3053, 3440, 1270, 3448, 2427, 2046]","[1024, 1, 1920, 6, 1804, 1805, 2700, 527, 1552, 2450, 2580, 661, 2459, 2716, 2596, 1573, 2099, 2616, 2105, 1213, 1089, 1092, 457, 2761, 216, 2268, 733, 480, 2273, 231, 235, 3052, 1517, 1265, 2033, 3441, 3702, 3703]"
2,50.0,"[80489, 80906, 79132]","[1704, 3578, 333]"
3,50.0,"[2288, 849, 6835]","[1587, 7899, 5919]"
4,20.51,"[1225, 1517, 4239, 1136, 3508, 919, 1466, 1086]","[2692, 3851, 3083, 914, 4246, 920, 2203, 1947, 2204, 800, 162, 1967, 2351, 4273, 708, 2762, 1103, 3408, 345, 348, 1500, 1250, 3044, 2791, 106, 1259, 368, 3060, 1914, 892, 125]"
5,55.56,"[290, 296, 594, 595, 596]","[1, 34, 21, 367]"
6,18.18,"[248, 709, 454, 1064, 367, 852, 440, 60]","[2, 3, 5, 141, 24, 281, 26, 32, 292, 304, 1082, 700, 61, 62, 450, 195, 708, 838, 590, 207, 848, 337, 210, 339, 340, 593, 594, 361, 491, 364, 110, 112, 500, 252, 250, 508]"
7,28.57,"[4993, 8961, 5445, 7143, 150, 924]","[1, 4995, 8957, 3114, 6539, 780, 1610, 750, 6863, 1584, 3408, 50, 8949, 1270, 3869]"
8,37.5,"[296, 593, 11]","[2, 590, 21, 253, 318]"
9,0.0,[],"[5218, 5445, 5447, 5965, 6001, 922, 923, 223]"
10,66.67,"[33794, 106696, 103339, 588, 7153, 1907, 79091, 104374, 49272, 6942]","[88163, 7149, 912, 40819, 81845]"
11,15.38,"[457, 474]","[480, 36, 1604, 6, 1608, 780, 1101, 110, 2028, 1210, 1693]"
12,55.56,"[39, 2572, 8533, 2485, 2072]","[168, 222, 40629, 6942]"
13,66.67,"[3793, 3827, 3798, 47]","[1590, 1198]"
14,42.86,"[376, 339, 356]","[32, 593, 25, 47]"
15,55.56,"[318, 260, 122886, 2571, 71057, 4370, 134130, 1240, 1210, 1214]","[2916, 296, 2858, 112556, 4720, 4018, 84152, 69757]"
16,38.89,"[91529, 913, 5618, 50, 1267, 1208, 1276]","[4226, 78499, 293, 1261, 750, 111, 4973, 849, 1203, 1207, 68954]"
17,55.56,"[4993, 4226, 1089, 1090, 1221, 1222, 2762, 2571, 1291, 589, 527, 47, 7153, 79132, 1213]","[1, 78499, 2858, 1036, 590, 80463, 50, 1405, 1270, 7482, 4571, 27773]"
18,46.99,"[111362, 6787, 6, 122886, 1036, 54286, 2959, 16, 89745, 122900, 150548, 2324, 79132, 32, 122918, 99114, 185135, 431, 1201, 1203, 1080, 45499, 65596, 1086, 1732, 1221, 5445, 1223, 88140, 8665, 37729, 37733, 99813, 745, 1260, 3052, 98809, 77561, 1276]","[59784, 778, 6539, 780, 4886, 45722, 155168, 78499, 112421, 4007, 6440, 180777, 36529, 180, 157108, 1206, 2997, 3896, 1721, 8117, 1729, 71108, 64197, 1222, 112334, 55118, 5464, 71899, 2268, 8798, 223, 4963, 356, 5608, 90600, 235, 55276, 3949, 4973, 2291, 1270, 44665, 508, 69757]"
19,45.45,"[32, 1, 3745, 34, 2723, 1376, 551, 2762, 1967, 2005, 1372, 1240, 2716, 541, 1086]","[1923, 837, 1256, 457, 2186, 1097, 2253, 3471, 3056, 818, 1234, 852, 3477, 2997, 1079, 3035, 2359, 1374]"
20,59.46,"[1025, 1282, 13, 4886, 2078, 2080, 2081, 34, 4014, 4016, 5816, 5952, 3397, 3398, 2761, 594, 595, 596, 2140, 4700, 2804, 1022]","[5218, 1380, 5103, 48, 1489, 3410, 2161, 1013, 4310, 5015, 6365, 5785, 2746, 2141, 3967]"
21,62.22,"[53121, 5378, 260, 53125, 104841, 10, 3082, 8972, 3984, 7569, 7570, 8984, 117529, 78499, 4005, 5418, 1196, 1198, 94777, 2115, 2376, 53322, 4306, 164179, 2012, 119145, 77561, 167036]","[115617, 95170, 355, 2916, 5445, 72998, 743, 7143, 2763, 33004, 3022, 152081, 106487, 3253, 105653, 94677, 2717]"
22,0.0,[],"[4036, 4903, 107, 48780, 55820, 2160, 4848, 49272, 2300, 253, 3006, 216]"
23,40.0,"[50, 5971, 2579, 923, 924, 29]","[1089, 2467, 6, 6440, 1232, 1233, 1237, 5782, 2686]"
24,27.78,"[6, 296, 50, 1396, 58559]","[7143, 119145, 3147, 6350, 1265, 134130, 132660, 58998, 1527, 3578, 64957, 2686, 5791]"
25,77.78,"[260, 60069, 122916, 527, 59315, 176371, 58559]","[177593, 231]"
26,66.67,"[296, 47]",[165]
27,42.31,"[2080, 3681, 34, 2628, 3836, 648, 3114, 1196, 595, 1276, 1148]","[2529, 2, 2565, 1287, 969, 1197, 2094, 590, 48, 1584, 2100, 3350, 1015, 3448, 986]"
28,31.43,"[260, 60069, 3300, 2021, 296, 3272, 1256, 1196, 4878, 7438, 858]","[53123, 60684, 54286, 70286, 5010, 7458, 293, 72998, 38061, 36529, 3250, 7481, 2105, 8644, 590, 55118, 1249, 34405, 2278, 60389, 1266, 8950, 26614, 4223]"
29,42.86,"[1250, 48516, 48774, 2028, 1136, 150, 953, 1242, 924]","[165, 4327, 1224, 87306, 98961, 5010, 51540, 5464, 1945, 82459, 316, 2301]"
30,60.0,"[5952, 33794, 260, 7153, 95510, 122904]","[318, 110, 96821, 93510]"
31,25.0,"[1196, 1356, 7]","[736, 1, 648, 1353, 10, 1197, 1073, 1361, 733]"
32,11.11,"[1196, 141]","[194, 100, 7, 296, 1036, 1197, 1198, 314, 592, 912, 852, 21, 25, 538, 539, 318]"
33,16.67,"[1060, 613, 17, 497, 339]","[1923, 261, 1673, 21, 28, 1056, 1059, 1446, 715, 1358, 337, 345, 475, 2396, 1885, 223, 608, 1888, 232, 1641, 2539, 2542, 1393, 1653, 507]"
34,33.33,"[6721, 4643, 3717, 6711, 27801]","[356, 3624, 10, 44974, 4720, 3000, 27193, 6618, 318, 4447]"
35,50.0,"[11, 252, 261]","[50, 300, 21]"
36,33.33,[1234],"[318, 1262]"
37,50.0,"[593, 165, 231]","[457, 150, 590]"
38,33.33,"[300, 110, 551]","[11, 590, 527, 50, 246, 318]"
39,31.82,"[260, 296, 1196, 1198, 50, 1270, 858]","[1248, 1729, 2529, 610, 3911, 745, 1610, 2571, 2987, 1197, 1258, 1584, 2997, 2391, 3000]"
40,42.86,"[1, 203, 173, 205, 110, 272, 371, 21, 317]","[609, 610, 327, 265, 266, 107, 685, 431, 111, 17, 440, 318]"
41,36.67,"[7361, 4226, 293, 296, 128360, 5995, 7438, 2959, 66097, 118900, 67255]","[6016, 46723, 4235, 6287, 2712, 89759, 116897, 2858, 61240, 1721, 4027, 96829, 92259, 357, 1258, 1259, 46578, 8949, 49530]"
42,23.08,"[1722, 260, 2371, 356, 2918, 3448, 10, 1968, 1466, 2000, 468, 150, 1270, 3256, 3098, 2683, 253, 1246]","[509, 1027, 3, 1673, 11, 1036, 144, 2194, 3100, 4509, 2335, 1060, 4516, 1191, 1704, 3752, 3753, 3755, 1580, 2605, 1961, 3120, 2352, 1457, 4022, 3257, 2490, 3259, 4027, 1597, 4541, 2497, 4034, 2115, 4293, 2502, 1608, 2763, 590, 593, 2771, 597, 2906, 4321, 2146, 4322, 1124, 2915, 1127, 2791, 364, 110, 2671, 1265, 1393, 3441, 3450, 507, 252, 381]"
43,31.25,"[1, 355, 1356, 48, 592, 594, 661, 253, 316, 317]","[256, 3, 5, 519, 520, 648, 532, 158, 161, 165, 47, 432, 434, 435, 57, 318, 711, 590, 1105, 356, 362, 238]"
