userId,porcentagem_coberta,filmes_apareceram,filmes_nao_apareceram
1,45.0,"[1025, 3, 2947, 1029, 6, 2948, 2949, 1275, 2193, 2450, 661, 1208, 1210, 1090, 2115, 1092, 3671, 3034, 608, 2028, 3053, 3440, 2033, 1270, 3448, 2427, 2046]","[1024, 1, 1920, 1804, 1805, 2700, 527, 1552, 2580, 2459, 2716, 2596, 1573, 2099, 2616, 2105, 1213, 1089, 457, 2761, 216, 2268, 733, 480, 2273, 231, 235, 3052, 1517, 1265, 3441, 3702, 3703]"
2,50.0,"[80489, 80906, 79132]","[1704, 3578, 333]"
3,83.33,"[2288, 849, 6835, 7899, 5919]",[1587]
4,25.64,"[1225, 1517, 4239, 1136, 3508, 919, 920, 1466, 2204, 1086]","[2692, 3851, 3083, 914, 4246, 2203, 1947, 800, 162, 1967, 2351, 4273, 708, 2762, 1103, 3408, 345, 1500, 348, 1250, 3044, 2791, 106, 1259, 368, 3060, 1914, 892, 125]"
5,55.56,"[290, 296, 594, 595, 596]","[1, 34, 21, 367]"
6,22.73,"[248, 709, 454, 1064, 361, 110, 367, 852, 440, 60]","[2, 3, 5, 141, 24, 281, 26, 32, 292, 304, 1082, 700, 61, 62, 450, 195, 708, 838, 590, 207, 848, 337, 210, 339, 340, 593, 594, 491, 364, 112, 500, 252, 250, 508]"
7,28.57,"[4993, 8961, 5445, 7143, 150, 924]","[1, 4995, 8957, 3114, 6539, 780, 1610, 750, 6863, 1584, 3408, 50, 8949, 1270, 3869]"
8,50.0,"[296, 593, 11, 21]","[318, 2, 253, 590]"
9,0.0,[],"[5218, 5445, 5447, 5965, 6001, 922, 923, 223]"
10,66.67,"[33794, 106696, 103339, 588, 7153, 1907, 79091, 104374, 49272, 6942]","[88163, 7149, 912, 40819, 81845]"
11,30.77,"[457, 474, 1604, 1101]","[480, 36, 6, 1608, 780, 2028, 110, 1210, 1693]"
12,55.56,"[39, 2572, 8533, 2485, 2072]","[168, 222, 40629, 6942]"
13,66.67,"[3793, 3827, 3798, 47]","[1590, 1198]"
14,42.86,"[376, 339, 356]","[32, 593, 25, 47]"
15,66.67,"[318, 260, 122886, 296, 2571, 71057, 4370, 134130, 84152, 1210, 1214, 1240]","[2916, 2858, 112556, 4720, 4018, 69757]"
16,44.44,"[91529, 849, 50, 913, 1267, 5618, 1208, 1276]","[4226, 78499, 293, 1261, 750, 111, 4973, 1203, 1207, 68954]"
17,59.26,"[4993, 4226, 1089, 1090, 1221, 1222, 2762, 2571, 1291, 589, 527, 47, 7153, 50, 79132, 1213]","[1, 78499, 2858, 1036, 590, 80463, 1405, 1270, 7482, 4571, 27773]"
18,50.6,"[111362, 6787, 6, 122886, 1036, 54286, 2959, 16, 89745, 122900, 150548, 2324, 79132, 32, 122918, 4007, 99114, 185135, 431, 1201, 1203, 1080, 45499, 65596, 1086, 1729, 1732, 1221, 5445, 1223, 88140, 8665, 37729, 37733, 99813, 745, 1260, 3052, 98809, 1270, 77561, 1276]","[59784, 778, 6539, 780, 4886, 45722, 155168, 78499, 112421, 6440, 180777, 36529, 180, 157108, 1206, 2997, 3896, 1721, 8117, 71108, 64197, 1222, 112334, 55118, 5464, 71899, 2268, 8798, 223, 4963, 356, 5608, 90600, 235, 55276, 3949, 4973, 2291, 44665, 508, 69757]"
19,45.45,"[32, 1, 3745, 34, 2723, 1376, 551, 2762, 1967, 2005, 1372, 1240, 2716, 541, 1086]","[1923, 837, 1256, 457, 2186, 1097, 2253, 3471, 3056, 818, 1234, 852, 3477, 2997, 1079, 3035, 2359, 1374]"
20,70.27,"[1025, 1282, 13, 4886, 2078, 2080, 2081, 34, 4014, 48, 4016, 5816, 5952, 3397, 3398, 2761, 1489, 594, 595, 596, 2140, 4700, 2161, 2804, 1013, 1022]","[5218, 1380, 5103, 3410, 4310, 5015, 6365, 5785, 2746, 2141, 3967]"
